Pass;SummitElevation;Lat;Lng
"Kaunertaler Gletscherstraße";"2750";"46.965962";"10.742568"
"Kernhofer Gscheid";"970";"47.828309";"15.483901"
"Kerschbaumer Sattel";"1111";"47.38749";"11.87668"
"Kitzbühler Horn Panoramastraße";"1670";"47.46708";"12.42963"
"Klippitztörl";"1642";"46.943465";"14.676704"
"Koblberg-Pass";"1044";"48.520702";"14.796037"
"Koppen-Pass";"690";"47.573503";"13.7205"
"Kopsalpe / Speicher Kops";"1830";"46.974371";"10.114047"
"Kreuzbergsattel";"1074";"46.714679";"13.256034"
"Kunstalm Verditz";"1085";"46.708685";"13.800439"
"Kurzer Grund";"1144";"47.332427";"12.159468"
"Kühtaisattel";"2020";"47.213803";"11.024373"
"Lahnsattel";"1027";"47.774894";"15.485679"
"Lammersdorfer Hütte";"1645";"46.81575";"13.62635"
"Leckfeldalm";"1920";"46.719622";"12.412598"
"Lienzer Dolomitenhütte";"1620";"46.7898";"12.78403"
"Loibl-Pass (Ljubelj)";"1367";"46.439248";"14.266777"
"Losen-Pass";"1140";"47.422887";"9.809141"
"Loser Panoramastraße";"1632";"47.66081";"13.786093"
"Luschasattel";"1295";"46.508035";"14.709963"
"Malta-Hochalm-Straße";"1910";"47.078612";"13.344387"
"Maltaberg";"1600";"46.974817";"13.511526"
"Mandling-Pass";"815";"47.40625";"13.564338"
"Maria Waldrast";"1641";"47.130108";"11.40552"
"Marterle Alpenkapelle";"1836";"46.8789";"12.94025"
"Millstätter Almstraße";"1626";"46.838691";"13.596751"
"Namlos-Pass";"1359";"47.36092";"10.656051"
"Nassfeld-Pass";"1552";"46.559945";"13.275568"
"Neumarkter Sattel";"894";"47.112137";"14.36925"
"Niederalpl";"1220";"47.680952";"15.377769"
"Nockalmstraße / Eisentalhöhe";"2042";"46.935846";"13.758316"
"Norbertshöhe";"1405";"46.8951";"10.484988"
"Obdacher Sattel";"955";"47.04517";"14.71873"
"Oberjoch-Pass (Schattwald)";"1178";"47.52419";"10.43901"
"Oberrissalm";"1742";"47.095546";"11.194564"
"Ochssattel";"864";"47.88225";"15.6394"
"Ossiacher Tauern";"1009";"46.660239";"14.01054"
"Packsattel";"1169";"46.963964";"14.977005"
"Pass Lueg";"552";"47.575602";"13.194671"
"Pass Strub";"675";"47.578692";"12.666491"
"Pass Thurn";"1274";"47.308407";"12.408736"
"Paulitschsattel";"1339";"46.42496";"14.584952"
"Perchauer Sattel";"995";"47.11928";"14.44963"
"Pfaffensattel";"1368";"47.57059";"15.813617"
"Pfänder";"1052";"47.507688";"9.780273"
"Piller Höhe";"1560";"47.118056";"10.66694"
"Planai";"1820";"47.37091";"13.72174"
"Planner Alm";"1589";"47.40405";"14.19938"
"Plöcken-Pass";"1357";"46.607812";"12.946234"
"Postalm (Lienbachsattel)";"1304";"47.626638";"13.414017"
"Prebersee";"1111";"47.1862";"13.85598"
"Preiner Gescheid";"1070";"47.676124";"15.723152"
"Prekova-Sattel";"1188";"46.94092";"14.2727"
"Pretalsattel";"1069";"47.577201";"15.422551"
"Präbichl";"1225";"47.523099";"14.949582"
"Pustertaler Höhenstraße";"1440";"46.784663";"12.61091"
"Pyhrn-Pass";"954";"47.617272";"14.296088"
"Pötschen-Pass";"993";"47.622031";"13.695221"
"Radl-Pass";"679";"46.645089";"15.206477"
"Radstädter Tauernpass";"1739";"47.247994";"13.55921"
"Reschen-Pass";"1504";"46.84723";"10.50546"
"Roaner Alm";"1903";"46.881696";"12.839319"
"Rofenhöfe";"2014";"46.856064";"10.891779"
"Rohrer Sattel";"864";"47.872489";"15.799884"
"Rossbrandstraße";"1710";"47.41472";"13.48482"
"Sadnighaus";"1880";"46.955068";"12.960241"
"Saualpe / Offner Hütte";"1660";"46.841748";"14.676239"
"Schanzsattel";"1170";"47.457061";"15.593323"
"Scharnitz-Pass";"960";"47.400324";"11.267509"
"Schladminger Hütte";"1830";"47.37163";"13.72396"
"Schlegeis Alpenstraße";"1792";"47.030676";"11.698766"
"Schloss Frauenstein";"704";"46.789174";"14.332684"
"Schloss Starkenberg";"880";"47.261388";"10.754136"
"Schnepfegg";"891";"47.356176";"9.947449"
"Schober-Pass";"849";"47.451029";"14.673897"
"Schöfftaler Höhe";"666";"47.937926";"14.48373"
"Schönfeldsattel";"1740";"46.982979";"13.776051"
"Seebergsattel";"1246";"47.625863";"15.282215"
"Seebergsattel (Jezersko vrh)";"1208";"46.418985";"14.527273"
"Semmering";"984";"47.636246";"15.826492"
"Silvretta Hochalpenstraße";"2037";"46.917599";"10.09314"
"Silzer Sattel (Sattele / Haiminger Sattel)";"1690";"47.2313";"10.927702"
"Soboth (Koglereck)";"1347";"46.668346";"15.009984"
"Sommerthörl-Pass";"1644";"47.28779";"14.54983"
"St. Corona am Wechsel";"860";"47.582662";"16.013566"
"Staller Sattel";"2052";"46.887716";"12.199691"
"Stein-Pass";"615";"47.671181";"12.757358"
"Stoderzinken";"1832";"47.458328";"13.814214"
"Straniger Alm";"1500";"46.59589";"13.13413"
"Strassegg";"1170";"47.389895";"15.531123"
"Stuhleckstraße";"1782";"47.574325";"15.7901"
"Sölk-Pass";"1790";"47.27169";"14.079675"
"Taferlhöhe";"829";"47.844713";"13.619946"
"Tauplitzalm Alpenstraße";"1595";"47.59351";"13.984206"
"Timmelsjoch (Passo del Rombo)";"2474";"46.905331";"11.097442"
"Triebener Tauern";"1274";"47.433333";"14.480185"
"Tschiernock Panoramastrasse";"1720";"46.853821";"13.565171"
"Turracher Höhe";"1795";"46.914642";"13.875099"
"Ursprung-Pass (Wacht)";"840";"47.61646";"12.021663"
"Ursprungalm";"1590";"47.299045";"13.624385"
"Villacher Alpenstraße (Rossstratte)";"1732";"46.593284";"13.710707"
"Wastl am Wald";"1110";"47.893969";"15.303846"
"Wechsel-Pass";"967";"47.50964";"16.02878"
"Weinebene";"1668";"46.82746";"15.01303"
"Weißenbacher Sattel";"566";"47.771251";"13.622651"
"Windische Höhe";"1110";"46.63425";"13.54476"
"Wurzen-Pass (Korensko sedlo)";"1073";"46.523433";"13.751521"
"Zeinisjoch";"1842";"46.976459";"10.142056"
"Zellerrain";"1125";"47.791502";"15.215149"
"Zillertaler Höhenstraße";"2020";"47.219597";"11.824433"
"Zirler Berg";"1057";"47.28705";"11.22744"
"Zollnerseehütte";"1750";"46.605214";"13.070683"
"Öberle-Alpe";"1498";"47.324509";"9.930747"
"Ötztaler Gletscherstraße / Rettenbachferner";"2829";"46.93186";"10.94199"
