Pass;SummitElevation;Lat;Lng
"Col du Tronc";"1606";"46.101929";"7.144013"
"Colle del Gran San Bernard";"2469";"45.8689";"7.1709287"
"Engstlenalp";"1834";"46.77505";"8.34477"
"Etzelpass";"950";"47.173458";"8.772315"
"Flüelapass (Pass dal Flüela)";"2383";"46.7498";"9.947691"
"Forcola de Livigno (Passo Forcola)";"2315";"46.440968";"10.056189"
"Fritzenfluh";"935";"47.05503";"7.83588"
"Furkapass";"2436";"46.572693";"8.415166"
"Gestelenpass (Meieberg)";"1851";"46.5827";"7.423668"
"Gibidumpass";"2201";"46.25504";"7.93858"
"Glaspass";"1843";"46.676747";"9.3452475"
"Glaubenberg";"1543";"46.892479";"8.107679"
"Glaubenbielen-Pass";"1611";"46.818805";"8.093181"
"Griesalp";"1425";"46.54797";"7.76225"
"Grimselpass";"2165";"46.561126";"8.336896"
"Grosse Scheidegg";"1962";"46.65557";"8.10187"
"Gurnigel";"1609";"46.73202";"7.44787"
"Göscheneralp";"1783";"46.64924";"8.49928"
"Hagenegg";"1414";"47.05178";"8.68335"
"Ibergereggpass";"1406";"47.017424";"8.733223"
"Juf-Avers";"2126";"46.44618";"9.57737"
"Klausenpass";"1948";"46.868183";"8.855448"
"Kunkelspass";"1357";"46.85621";"9.411578"
"La Grande Dixence";"2148";"46.084413";"7.403755"
"La Scheulte";"1051";"47.335839";"7.581817"
"La Tourne";"1170";"46.988065";"6.792206"
"Lac de Mauvoisin";"1845";"46.002451";"7.342697"
"Lac de Moiry";"2249";"46.12278";"7.57356"
"Lac de Tseuzier";"1760";"46.34632";"7.435126"
"Lago del Narèt";"2310";"46.47987";"8.57505"
"Lago di Lei";"1931";"46.48247";"9.45684"
"Lago di Luzzone";"1613";"46.56524";"8.96276"
"Lago Ritom";"1850";"46.53421";"8.6766"
"Lenzerheide-Pass";"1547";"46.7547";"9.55958"
"Les Agites-Pass";"1569";"46.364333";"6.9543826"
"Lüderenalp";"1145";"47.0023";"7.82627"
"Lüsis";"1270";"47.135145";"9.330443"
"Monte Ceneri";"554";"46.140117";"8.905706"
"Montetspass";"1461";"46.004025";"6.923447"
"Moosalp";"2048";"46.251366";"7.829261"
"Munt-la-Schera-Tunnel";"1720";"46.62336";"10.19373"
"Oberaar Panoramastraße";"2303";"46.54845";"8.27612"
"Oberalppass";"2045";"46.658692";"8.671217"
"Oberer Hauenstein";"734";"47.351658";"7.763983"
"Ofenpass";"2149";"46.639967";"10.291467"
"Palfriskamm";"1710";"47.0926";"9.41809"
"Pas de Morgins";"1369";"46.249702";"6.8458901"
"Passo del Giulia";"2284";"46.472211";"9.728111"
"Passo del Lucomagno";"1915";"46.563698";"8.80125"
"Passo del Maloja";"1815";"46.39992";"9.6958"
"Passo del San Bernardino";"2067";"46.495877";"9.170605"
"Passo del San Gottardo";"2106";"46.558993";"8.562388"
"Passo del Sempione";"2006";"46.25092";"8.032915"
"Passo della Novena";"2478";"46.477767";"8.386233"
"Passo dello Spluga";"2118";"46.50534";"9.33038"
"Passo dell’Umbrail";"2503";"46.541647";"10.433185"
"Passwang";"943";"47.359409";"7.65584"
"Portes de Culet";"1787";"46.258238";"6.873134"
"Pragelpass";"1548";"46.999365";"8.869491"
"Pyramides d’Euseigne";"979";"46.172949";"7.417966"
"Ratenpass";"1077";"47.141796";"8.663294"
"Renggpass";"959";"47.00355";"8.091038"
"Rickenpass";"805";"47.213272";"9.025955"
"Ruppenpass";"1003";"47.396096";"9.5026123"
"Salhöhe";"781";"47.428529";"7.98743"
"Samnaun";"1846";"46.9427";"10.3585"
"Satteleggpass";"1190";"47.127334";"8.846823"
"Sattelpass";"932";"47.093222";"8.669318"
"Schallenberg";"1167";"46.826154";"7.796852"
"Schanfiggerstrasse";"1775";"46.792358";"9.697628"
"Schlappin";"1640";"46.908346";"9.899111"
"Schwarzenbühlpass";"1546";"46.747262";"7.385862"
"Schwyzerhöhe";"750";"46.989288";"8.630045"
"Schwägalpstraße";"1360";"47.256336";"9.319496"
"Siblinger Höhe";"554";"47.721895";"8.5044671"
"Staffelegg";"621";"47.433807";"8.060453"
"Sustenpass";"2224";"46.72912";"8.446529"
"Thunerblick";"1198";"46.697719";"7.75381"
"Unterer Hauenstein";"691";"47.381344";"7.86898"
"Vue-des-Alpes-Pass";"1283";"47.07266";"6.86993"
"Wasserfluh";"873";"47.326081";"9.114666"
"Weissensteinpass";"1284";"47.255168";"7.508302"
"Wolfgangpass";"1630";"46.832656";"9.8537391"
"Ächerlipass";"1458";"46.904694";"8.335201"
